menu_id,franchise_id,product_count,amount,sales_date
11,69,5,24000,2023-01-01
7,71,3,13500,2023-01-01
11,69,5,24000,2023-01-01
4,69,3,15000,2023-01-01
2,69,4,16000,2023-01-01
6,63,4,20000,2023-01-01
1,71,5,15000,2023-01-01
12,70,1,5200,2023-01-01
10,64,4,18000,2023-01-01
20,70,3,13500,2023-01-01
5,64,5,27500,2023-01-01
9,68,2,8000,2023-01-01
4,70,4,20000,2023-01-01
14,63,2,10000,2023-01-01
9,71,5,20000,2023-01-01
2,65,4,16000,2023-01-01
15,68,4,22000,2023-01-01
8,64,1,3000,2023-01-01
4,63,4,20000,2023-01-01
2,67,2,8000,2023-01-01
4,67,5,25000,2023-01-01
18,71,4,18800,2023-01-01
2,71,4,16000,2023-01-01
14,69,4,20000,2023-01-01
8,66,5,15000,2023-01-01
18,66,2,9400,2023-01-01
13,70,5,27500,2023-01-01
15,62,1,5500,2023-01-01
7,70,1,4500,2023-01-01
12,69,3,15600,2023-01-01
19,62,3,14400,2023-01-01
3,62,3,13500,2023-01-01
5,71,2,11000,2023-01-01
9,68,1,4000,2023-01-01
8,63,1,3000,2023-01-01
16,68,5,27500,2023-01-01
3,69,3,13500,2023-01-01
3,62,3,13500,2023-01-01
5,64,1,5500,2023-01-01
5,71,3,16500,2023-01-01
9,71,2,8000,2023-01-01
13,64,1,5500,2023-01-01
20,65,5,22500,2023-01-01
7,65,5,22500,2023-01-01
7,64,4,18000,2023-01-01
2,71,5,20000,2023-01-01
6,65,3,15000,2023-01-01
7,62,1,4500,2023-01-01
20,70,3,13500,2023-01-01
7,67,3,13500,2023-01-01
9,66,1,4000,2023-01-01
19,71,4,19200,2023-01-01
15,67,1,5500,2023-01-01
20,62,1,4500,2023-01-01
20,68,2,9000,2023-01-01
3,62,5,22500,2023-01-01
17,69,1,5800,2023-01-01
17,63,2,11600,2023-01-01
5,62,1,5500,2023-01-01
19,63,5,24000,2023-01-01
12,71,4,20800,2023-01-01
11,69,3,14400,2023-01-01
17,67,5,29000,2023-01-01
20,63,3,13500,2023-01-01
16,62,1,5500,2023-01-01
6,64,4,20000,2023-01-01
4,64,2,10000,2023-01-01
3,64,4,18000,2023-01-01
7,65,1,4500,2023-01-01
1,69,2,6000,2023-01-01
8,62,3,9000,2023-01-01
18,68,2,9400,2023-01-01
3,68,4,18000,2023-01-01
16,71,1,5500,2023-01-01
20,62,2,9000,2023-01-01
1,66,5,15000,2023-01-01
9,70,3,12000,2023-01-01
19,64,4,19200,2023-01-01
1,69,4,12000,2023-01-01
11,62,4,19200,2023-01-01
6,69,4,20000,2023-01-01
3,70,3,13500,2023-01-01
18,63,2,9400,2023-01-01
3,70,4,18000,2023-01-01
1,65,1,3000,2023-01-01
14,66,4,20000,2023-01-01
8,68,3,9000,2023-01-01
17,62,4,23200,2023-01-01
19,67,5,24000,2023-01-01
19,67,3,14400,2023-01-01
2,66,1,4000,2023-01-01
15,62,5,27500,2023-01-01
16,64,4,22000,2023-01-01
3,62,1,4500,2023-01-01
12,66,3,15600,2023-01-01
9,66,5,20000,2023-01-01
17,66,3,17400,2023-01-01
1,65,5,15000,2023-01-01
1,64,2,6000,2023-01-01
10,67,2,9000,2023-01-01
3,69,2,9000,2023-01-01
15,67,2,11000,2023-01-01
